09/19/16 13:43:17:149 | [INFO] |  | ASU | LWANative | LWANative |  |  | 2486452 | Build Version - 9.0.0.243
09/19/16 13:43:17:149 | [INFO] |  | ASU | LWANative | LWANative |  |  | 2486452 | Logging Level verbosity Set  to 4
09/19/16 13:43:17:680 | [INFO] |  | ASU | LWANative | P7Native |  |  | 2486452 | Start : pwa_openSession
09/19/16 13:43:17:681 | [INFO] |  | ASU | LWANative | P7Native |  |  | 2486452 | pwa_openSession Session key : 00114657-0907-4EFC-B166-A31518DA8163
09/19/16 13:43:17:760 | [INFO] |  | ASU | OPM | OPM |  |  | 2486452 | Build Version - 9.0.0.222
09/19/16 13:43:17:760 | [INFO] |  | ASU | OPM | OPM |  |  | 2486452 | Logging Level verbosity Set  to 4
09/19/16 13:43:17:763 | [INFO] |  | ASU | OPM | OPM |  |  | 2486452 | Schema version and schema compatibility version are same or greater than current

09/19/16 13:43:17:764 | [INFO] |  | ASU | OPM | OPM |  |  | 2486452 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
09/19/16 13:43:17:765 | [INFO] |  | ASU | OPM | OPM |  |  | 2486452 | No Record found for the input fields in opm_getValueForKey
09/19/16 13:43:17:768 | [INFO] |  | ASU | OPM | OPM |  |  | 2486452 | Released OPM refrence successfully in opm_freeLibRef
09/19/16 13:43:17:790 | [INFO] |  | ASU | LWANative | P7Native |  |  | 2486452 | End : pwa_openSession
09/19/16 13:43:17:795 | [INFO] |  | ASU | LWANative | P7Native |  |  | 2486452 | Start : pwa_getDeviceID
09/19/16 13:43:17:796 | [INFO] |  | ASU | OPM | OPM |  |  | 2486452 | Build Version - 9.0.0.243
09/19/16 13:43:17:797 | [INFO] |  | ASU | OPM | OPM |  |  | 2486452 | Logging Level verbosity Set  to 4
09/19/16 13:43:17:800 | [INFO] |  | ASU | OPM | OPM |  |  | 2486452 | Schema version and schema compatibility version are same or greater than current

09/19/16 13:43:17:801 | [INFO] |  | ASU | OPM | OPM |  |  | 2486452 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
09/19/16 13:43:17:802 | [INFO] |  | ASU | OPM | OPM |  |  | 2486452 | No Record found for the input fields in opm_getValueForKey
