 Time	               Bundle ID	              Status	Comment
0.000	                       -	                   -	TALagent Started (system uptime: 227375.42 sec, current time: 495978188.58)
0.005	                       -	                   -	Liveness: 0 -> 1 (run_as_server)
0.007	                       -	                   -	Liveness: 1 -> 2 (create_xpc_listener)
0.007	                       -	                   -	Blocking app contact
0.113	                       -	                   -	Successfully read encryption key from keychain in 0.107205 seconds
0.149	                       -	                   -	Liveness: 2 -> 3 (server_show_windows_for_asns)
0.150	                       -	                   -	server_show_windows_for_asns start
0.150	                       -	                   -	Allowing apps to contact us
0.151	                       -	                   -	TAL launch still in progress because com.googlecode.iterm2 is unstopped (yes) and/or unhidden (yes)
0.151	                       -	                   -	Still waiting for registration from com.googlecode.iterm2, com.apple.Safari, com.spotify.client, Finder
0.151	                       -	                   -	Liveness: 3 -> 4 (add_app)
0.151	   com.googlecode.iterm2	           Launching	
0.375	        com.apple.Safari	           Launching	
0.381	      com.spotify.client	           Launching	
0.383	      com.spotify.client	                   -	Failed to create a window image: Failed to read metadata for file '/nfs/2015/f/fbellott/Library/Saved Application State/com.spotify.client.savedState/window_1.data'. errno is 2 (No such file or directory)
0.383	                       -	                   -	Finder not yet launched, but pretending it is
0.418	                       -	                   -	_LSSetApplicationInformationItem(kLSDefaultSessionID, asn, _kLSApplicationIsHiddenKey, hidden ? kCFBooleanTrue : kCFBooleanFalse, NULL) produced OSStatus -50 on line 678 in TCApplication.m
0.418	                       -	                   -	_LSSetApplicationInformationItem(kLSDefaultSessionID, asn, TAL_kLSIsProxiedForTALKey, kCFBooleanTrue, NULL) produced OSStatus -50 on line 681 in TCApplication.m
0.418	                       -	                   -	loginwindow launched apps com.googlecode.iterm2, com.apple.Safari, com.spotify.client
0.428	                       -	                   -	Bitmaps Ready (3 apps, 7 windows)
0.428	        com.apple.Safari	                   -	Disposing because it has no windows
0.429	        com.apple.Safari	            Disposed	
0.429	      com.spotify.client	                   -	Disposing because it has no windows
0.430	      com.spotify.client	            Disposed	
0.430	        com.apple.finder	                   -	Disposing because it has no windows
0.431	        com.apple.finder	            Disposed	
0.431	                       -	                   -	server_show_windows_for_asns end
0.805	                       -	                   -	TAL launch still in progress because com.googlecode.iterm2 is unstopped (yes) and/or unhidden (yes)
0.805	                       -	                   -	Still waiting for registration from com.googlecode.iterm2, com.apple.Safari, com.spotify.client, Finder
0.805	                       -	                   -	TAL launch still in progress because com.googlecode.iterm2 is unstopped (yes) and/or unhidden (yes)
0.805	                       -	                   -	Still waiting for registration from com.googlecode.iterm2, com.apple.Safari, com.spotify.client, Finder
0.805	   com.googlecode.iterm2	           Connected	
0.805	                       -	                   -	Acquired designated connection from pid 21643 (app is <TCApplication: 0x7ff2c1712d30 (com.googlecode.iterm2)>)
0.806	                       -	                   -	Refusing connection from pid 21654 (app was (null))
0.806	                       -	                   -	TAL launch still in progress because com.googlecode.iterm2 is unstopped (yes) and/or unhidden (yes)
0.806	                       -	                   -	Still waiting for registration from com.googlecode.iterm2, com.apple.Safari, com.spotify.client, Finder
0.806	                       -	                   -	TAL launch still in progress because com.googlecode.iterm2 is unstopped (yes) and/or unhidden (yes)
0.806	                       -	                   -	Still waiting for registration from com.googlecode.iterm2, com.apple.Safari, com.spotify.client, Finder
0.807	                       -	                   -	TAL launch still in progress because com.googlecode.iterm2 is unstopped (yes) and/or unhidden (yes)
0.807	                       -	                   -	Still waiting for registration from com.googlecode.iterm2, com.apple.Safari, com.spotify.client, Finder
0.841	        com.apple.finder	                   -	Finder checked in
0.841	                       -	                   -	TAL launch still in progress because com.googlecode.iterm2 is unstopped (yes) and/or unhidden (yes)
0.841	                       -	                   -	Still waiting for registration from com.googlecode.iterm2, com.apple.Safari, com.spotify.client
1.374	   com.googlecode.iterm2	   Requested windows	7 windows.
1.377	   com.googlecode.iterm2	 Transferred windows	
1.869	   com.googlecode.iterm2	                   -	Registered as TAL ready
1.869	                       -	                   -	TAL launch still in progress because com.apple.Safari is unstopped (yes) and/or unhidden (yes)
1.869	                       -	                   -	Still waiting for registration from com.apple.Safari, com.spotify.client
1.871	   com.googlecode.iterm2	                   -	Reported finished launching.
2.522	   com.googlecode.iterm2	       Ready to Draw	
2.682	                       -	                   -	TAL launch still in progress because com.apple.Safari is unstopped (yes) and/or unhidden (yes)
2.682	                       -	                   -	Still waiting for registration from com.apple.Safari, com.spotify.client
3.007	                       -	                   -	Liveness: 4 -> 3 (__create_xpc_listener_block_invoke)
3.529	   com.googlecode.iterm2	            Disposed	
5.529	                       -	                   -	Liveness: 3 -> 2 (__remove_app_block_invoke)
5.945	                       -	                   -	TAL launch still in progress because com.apple.Safari is unstopped (yes) and/or unhidden (yes)
5.945	                       -	                   -	Still waiting for registration from com.apple.Safari, com.spotify.client
6.295	        com.apple.Safari	                   -	Registered as TAL ready
6.295	                       -	                   -	TAL launch still in progress because com.spotify.client is unstopped (yes) and/or unhidden (yes)
6.295	                       -	                   -	Still waiting for registration from com.spotify.client
6.368	      com.spotify.client	                   -	Registered as TAL ready
6.368	                       -	                   -	All started apps have registered (no remaining unregistered apps)
6.370	                       -	                   -	TAL Relaunch - all apps registered as ready
6.370	                       -	                   -	Liveness: 2 -> 1 (__server_show_windows_for_asns_block_invoke30)
15.004	                       -	                   -	Liveness: 1 -> 0 (__run_as_server_block_invoke)
15.004	                       -	                   -	Exiting out of boredom
